Company Name,Industry,Funding Stage,Amount,Location,About Company,Year Funded,Investor
DeHaat,Agritech,Series A,12000000.0,,Online marketplace for farming services and products,2020,Sequoia Capital India
Lido Learning,Edtech,Series B,7500000.0,Mumbai,Online teaching service,2020,Bace Capital
Aye Finance,Fintech,,23850000.0,Gurugram,A finance lender to SMEs,2020,Undisclosed
Swiggy,Foodtech,Series A,43000000.0,Bangalore,Platform to order food online from restaurants and getting it delievered,2020,"Tencent, Ark Impact, Korea Investment Partners, Samsung Ventures, Mirae Asset Capital Markets"
Akna Medical,Healthtech,,7000000.0,,Provides supply solutions for surgical and pharmaceutical products.,2020,LGT Lightstone Aspada
Zomato,Foodtech,,5000000.0,Gurugram,Online food delivery and restaurant discovery platform,2020,Pacific Horizon
RaRa Delivery,Logistics,Seed Round,800000.0,,Provides same day delivery service for ecommerce businesses,2020,"Der Shing Lim, 500 startups"
JusPay,Fintech,Series B,21600000.0,Bangalore,Online payment solutions,2020,Vostok Emerging Finance
Fingpay,Fintech,Series A,3500000.0,Mumbai,Provides payment solutions,2020,IvyCap Ventures
Recko,SaaS,Series A,6000000.0,Bangalore,The platform enables AI-powered reconciliation of digital transactions,2020,Vertex Ventures
Furlenco,Ecommerce,,10000000.0,Bangalore,Furniture rental startup,2020,"Chowdry Associates, Lightbox"
Mera Cashier,Fintech,,150000.0,Noida,App meant for small and micro businessmen to manage their transactions digitally,2020,"Sukhbir Singh, India Accelerator, Boudhik Ventures, Shankar Nath, Shaurya Garg"
Kitchens Centre,,Seed Round,500000.0,Delhi,Offers solutions to cloud kitchens by providing commercial space and kitchen infrastructure to assisting with branding and other services,2020,AngelList India
Camp K12,Edtech,Seed Round,4000000.0,Gurugram,It connects students with tutors online,2020,"Matrix Partners, SAIF Partners"
MedGenome,Healthtech,Series D,55000000.0,Bangalore,Genetic diagnostic testing company,2020,LeapFrog Investments
Ergos,Agritech,,4598000.0,Bangalore,It enables farmers to digitise their foodgrain and also provide access to supply chain solutions,2020,Aavishkar Capital
Nykaa,Ecommerce,,13137000.0,Mumbai,Deals in cosmetic and wellness products,2020,Steadview capital
Samadhan,Insurance,Seed Round,,Delhi,They help find solutions to insurance related issues,2020,Venture Catalysts
Lido Learning,Edtech,,3000000.0,Mumbai,Online teaching service,2020,"Pecus Capital, Madhur Deora"
CureFit,Health and Fitness,Series D,115000000.0,Bangalore,"Integrated platform for food, fitness and meditation.",2020,Temasek
Design X,IoT,Seed Round,200000.0,Noida,Builds IoT based products,2020,ThinkNext LLC
Imstrong,Fitness,Seed Round,400000.0,Bangalore,It is an online and live video-streaming platform that allows trainers and fitness enthusiasts to connect and engage in interactive online classes.,2020,Rainmatter
Craftsvilla,Marketplace,,3900000.0,Mumbai,Online marketplace for ethnic wear,2020,Supera Investments
Rupifi,Fintech,Pre seed round,,Bangalore,Offers financial products for SMEs,2020,"Ashneer Grover, Kunal Shah, Ramakant Sharma"
SnackAmor,Food,Seed Round,,Mumbai,It offers various healthy snacks,2020,Undisclosed
Zealthy,Healthtech,Seed Round,,Bangalore,"It connects women to healthproviders for specialities like infertility, maternity etc.,",2020,"KYT Ventures, First Cheque, AngelList"
CoinDCX,Fintech,Series A,3000000.0,,A cryptocurrency trading platform,2020,"Polychain Capital, Bain Capital Ventures, HDR Group"
NuNu TV,Media,,670000.0,,Kids-focussed Youtube channel,2020,Risers Accelerators
QTalk,Technology,Seed Round,1600000.0,Bangalore,Smart Phone Dialer,2020,"Accel India, Lightspeed Venture Partners"
Shadez,Interior & decor,Seed Round,100000.0,Mumbai,Paint Company,2020,Inflection Point Ventures
Excess2Sell,Ecommerce,,1000000.0,Mumbai,B2B Marketplace for Overstock & Surplus Inventory,2020,Gautham Madhavan
Stanplus,Healthtech,Pre series A,1500000.0,Hyderabad,Ambulance service,2020,Pegasus FinInvest
Pitstop,Automobile,Series A,2500000.0,Bangalore,Doorstep car service,2020,TPG-backed Group Landmark
Univariety,Edtech,,1100000.0,Hyderabad,Online marketplace that provides career counselling and college guidance,2020,Info Edge
Peel Works,SaaS,"Series C, D",,Mumbai,E-commerce for corner/retail stores.,2020,CESC Ventures
CoreStack,Technology,Series A,8500000.0,Chennai,Enterprise cloud governance technology startup,2020,Naya Ventures
Vivriti Capital,Fintech,Series B,50000000.0,Chennai,Digital lending startup,2020,LGT Lightstone Aspada
Agnikul,Spacetech,Pre series A,3148000.0,Chennai,"It designs, fabricates, tests and launch orbital class launch vehicles",2020,pi Ventures
Fintso,Fintech,,2600000.0,,Wealth management platform,2020,"Rajeev Juneja, Pratul Shroff, Dilip Khandelwal, Piyush Gupta"
Smart Coin,Fintech,Series A,7000000.0,,Consumer lending startup,2020,LGT LightstoneAspada
ZunRoof,Cleantech,Series A,3000000.0,Gurugram,"It specialises in solar rooftop design, installation, and management using technology",2020,Godrej Investments
Shop101,Social e-commerce,Series C,3900000.0,,Enables entrepreneurs to sell online,2020,"Stellaris Venture Partners, Unilever Ventures, Kalaari Capital, Vy Capital"
OM Bhakti,FMCG,Seed Round,,Bangalore,A puja cotton-wicks manufacturing startup,2020,Venture Catalysts
Lal10,B2B,,1100000.0,Uttar Pradesh,It helps Indian artisans and SMEs reach out to global retailers,2020,Sorenson Impact
Ola Electric,eMobility,,1000000.0,Bangalore,Electric vehicle,2020,Pawan Munjal Family Trust Fund
Multi Living,Real Estate,,6000000.0,Mumbai,"It curates apartments from the homeowners, performs the quality check and offers the homes with built-in services to the potential tenants",2020,Lodha Ventures
FamPay,Fintech,Seed Round,4700000.0,Bangalore,"It allows parents to send money to their kids below the age of 18, which they can spend securely under parent supervision.",2020,"Y Combinator, Venture Highway, Sequoia India, Global Founders Capital"
UnboxRobotics Labs,Automation tech,Seed Round,500000.0,Bangalore,Automated flexible parcel sorting solutions for logistics providers,2020,"Arali Ventures, CIIE.CO"
Karbon Card,Fintech,Seed Round,2000000.0,Bangalore,Specialisde corporate cards for startups,2020,"Kunal Shah, Amrish Rau, Jitendra Gupta"
Airmeet,Media & Networking,,3000000.0,Bangalore,"A platform to host, discover, and attend fully remote events like conferences and professional meet-ups",2020,Accel India
Innerchef,Foodtech,,1000000.0,Gurgaon,Cloud kitchen platform,2020,Mistletoe
Epigamia,FMCG,Series C,,Mumbai,Flavoured and greek yoghurt brand,2020,KA Enterprise
F5,E-market,Seed Round,,Delhi,Retail Aggregator,2020,LetsVenture investors
Paper Boat,Food & Beverages,,4049500.0,Bangalore,Ecommerce platform for beverages and snacks,2020,"Advent Management, A91 Emerging Fund, Trifecta Venture"
Strata,Proptech,Seed Round,1500000.0,Bangalore,Real estate investment platform,2020,"SAIF Partners, Mayfield India"
Salesken,AI & Data science,Series A,8000000.0,Bangalore,Provides sales professionals with intelligence on various aspects of the sales pitch,2020,Sequoia India
Arya,Agritech,Series B,6000000.0,Noida,Provides post-harvest services across the agricultural value chain,2020,LGT Lightstone Aspada
Leap Finance,Fintech,,5500000.0,Bangalore,Provides education loans to students based on the student’s future income,2020,Sequoia India
Tricog,Healthtech,Series B,10500000.0,Bangalore,Provides virtual cardiology services through its AI-powered healthcare platforms,2020,"UTEC-The University of Tokyo Edge Capital, Aflac Ventures, LLC, Dream Incubator, TeamFund"
Trell,Social e-commerce,Pre series A,4000000.0,Bangalore,Allows users to share their travel experiences,2020,"Sequoia’s Surge, Fosun RZ"
Spaciya Consultants,Real Estate,Pre series A,500000.0,Noida,Real estate consultancy firms,2020,Alok Garg
Bounce,Automotive and Rentals,,6500000.0,Bangalore,Offers a variety of bikes and scooters that can be rented on a subscription basis,2020,InnoVen Capital
Neeman,Ecommerce,Pre series A,1000000.0,,An eco-conscious footwear brand making comfortable shoes using Merino Wool,2020,Anicut Angel Fund
Chqbook,Fintech,Series A,5000000.0,Gurugram,"Marketplace for small business owners, offering them products around lending, credit cards etc",2020,Aavishkaar Capital
SMEcorner,Fintech,Series B,30000000.0,Mumbai,Financial lending firm to SMEs,2020,Paragon Partners
Oda Class,Edtech,Pre series A,,Bangalore,"It offers content and material via video, adopting a dual-teacher model with IIT and NIT alumni",2020,Yuanfudao
Spinny,E-tail,Series B,43700000.0,Haryana,Used car retailing platform,2020,"Nandan Nilekani, Sanjeev Aggarwal"
Umeed Housing,Fintech,Series D,23000000.0,Haryana,Housing finance company,2020,Morgan Stanley Private Equity Asia
Vogo,Automotive,Series C,20000000.0,Bangalore,A scooter-sharing platform allowing users to rent a two-wheeler from specific designated pick up points,2020,Lightstone Aspada
Flick Stree,AI & Media,Series A,3000000.0,Mumbai,Artificial intelligence-based video publishing network,2020,Samsung Venture Investment
Qure ai,Healthtech,,16000000.0,Mumbai,Provides interpretations of radiology scans,2020,Sequoia India
Josh Talks,Media,Pre series A,1500000.0,Haryana,Community of young individuals providing a platform to showcase their stories,2020,Media Development Investment Fund
RailYatri,Travel,,13800000.0,Noida,A complete Indian railways app,2020,"Nandan Nilekani, Samsung Venture Investment Corporation"
AjnaLens,Deeptech,Pre series A,1500000.0,Thane,"It leverages technologies such as AR, VR & AI to offer hardware in areas such as education and defence",2020,"Maharashtra Defence, Aerospace Venture Fund (MDAVF)"
Pepper,Content Marktplace,Seed funding,306900.0,Mumbai,End to end content creation platform,2020,"Kunal Bahl, Rohit Bansal"
Rupeek,Fintech,,30000000.0,Bangalore,An asset backed online lending platform,2020,"GGV Capital, Bertelsmann India Investments, Binny Bansal, Sequoia India, Accel Partners"
iMerit,IT,Series B,20000000.0,Kolkata,Turns information into data that is usable for machine learning processes,2020,CDC Group Plc
BharatPe,Fintech,Series C,75000000.0,Delhi,Digital payments platform,2020,Ribbit Capital
Invideo,Visual Media,,2500000.0,,Video production and editing platform,2020,Sequoia Capital’s Surge
AvalonMeta,Edtech,,420000.0,,It combines higher education and competitive gaming,2020,Peerplays
Near Store,Ecommerce,Seed Round,300000.0,Mumbai,Enables a shop to create an online presence,2020,Sauce.vc
Prayaan Capital,Fintech,Seed Round,1200000.0,Chennai,"NBFC that lends to micro, small, and medium-sized enterprises (MSMEs)",2020,Accion Venture Lab
Sanfe,Hygiene,Pre series A,1100000.0,Delhi,Women health care and wellness product,2020,"SucSEED Venture Partners, BIRAC, Elixir Pharma, Titan Capital"
Go Desi,Foodtech,Seed Round,627300.0,Delhi,Provides traditional delicacies,2020,Rukam Capital
Swiggy,Foodtech,Series A,113000000.0,Bangalore,Platform to order food online from restaurants and getting it delievered,2020,Prosus N.V
Whatfix,SaaS,Series C,32000000.0,Banglore,"Digital adoption platform that helps companies provide intuitive onboarding, training and support",2020,Sequoia Capital India
Unacademy,Edtech,Series E,110000000.0,Bangalore,Platform that offers online education in India,2020,"Facebook, General Atlantic, Sequoia India, Nexus Venture Partners, Steadview Capital, Blume Ventures"
Zvesta,Proptech,,5500000.0,Gurugram,An online platform where users can search and buy properties listed by developers and brokers,2020,Hindustan Media Ventures
Dunzo,Logistics,,11000000.0,Bangalore,India-based hyperlocal delivery startup,2020,Alteria Capital
Digit Insurance,Insurtech,,340000.0,Bangalore,General Insurance Company,2020,"Virat Kohli, Anushka Sharma"
Yolo,Transport,Seed funding,600000.0,Gurugram,Intercity transportation,2020,Undisclosed
SmartVizX,VR & SaaS,Pre series A,1397000.0,,It developed India’s first VR-based design communication and collaboration product Trezi,2020,Rockstud Capital
MaxWholesale,Ecommerce,Series A,3000000.0,Delhi,B2B ecommerce platform for kirana stores,2020,"IAN Fund-I,  Al Falaj Investment Company (AFI)"
Carbon Clean,Cleantech,,16000000.0,,Develops affordable carbon capture technology,2020,"WAVE Equity Partners, Chevron Technology Ventures, Marubeni Corporation."
Onsitego,Sales & Services,Series B,19000000.0,,It offers post-purchase services through a network of brand authorised service centres throughout the country,2020,Zodius Growth Fund
Genius Corner,Edtech,,250000.0,Noida,Framework to enable personalised learning using artificial intelligence (AI) and machine learning (ML).,2020,"Mahesh Mohta, Jyoti Arora, Nachu Subramanian, Srivats"
PlanetSpark,Edtech,,448500.0,Gurugram,Provides neighbourhood learning zones where children learn and develop 'new-age' skills under one roof,2020,"Indian Angel Network, Lead Angels, Hyderabad Angels"
Simsim,Social Commerce,Series B,8000000.0,Bangalore,It enables community opinion influencers to sell products to thousands of micro-communities in India,2020,"Accel Partners, Shunwei Capital, Good Capital"
Shuttl,Transport,Series C,7975700.0,Delhi,App based bus aggregator serice,2020,SIG Global India Fund
Oga,Fitness,,330000.0,Bangalore,Provides interactive fitness experience to people across the world,2020,Inflection Point Ventures
Big Basket,Estore,,3500000.0,Bangalore,Online grocery store,2020,Trifecta Capital
CYFIRMA,SaaS,Series A,,Bangalore,Offer cybersecurity services,2020,Z3 Partners
Innoviti,,,5000000.0,Bangalore,Digital payments solutions company,2020,FMO
Paytm money,Fintech,,5600000.0,Bangalore,Wealth Management,2020,One97 Communications
Vedantu,Edtech,Series C,24000000.0,Bangalore,Onine learning platform,2020,GGV Capital
Yap,Fintech,,1402000.0,Chennai,Banking and payment products-focused API platform,2020,"Amrish Rau, Kunal Shah, Jitendra Gupta"
Clover,Agritech,Series A,5500000.0,Bangalore,Provides agricultural solution to farmers working in the greenhouse production of vegetables and fruits,2020,"Omnivore, Accel Partners, Mayfield"
Nova Credit,Fintech,Series B,50000000.0,,Cross-border consumer credit startup,2020,"Kleiner Perkins, Canapi Ventures, Index Ventures, Nyca Partners, General Catalyst."
CodingNinjas,Edtech,Series A,5200000.0,Delhi,Online learning platform,2020,Info Edge Ltd
Furlenco,Ecommerce,Series C,2200000.0,Bangalore,Furniture rental startup,2020,Chowdry Associates
Brick&Bolt,,Pre series A,1500000.0,Bangalore,Operates in the residential construction space,2020,Surge
HempStreet,Healthtech,Pre series A,1000000.0,,Manufacturer of ayurvedic medicines based on cannabis,2020,Pharmacon Holdings
MoEngage,Marketing,Series C,25000000.0,Bangalore,Customer analytics and cross-channel engagement platform,2020,Eight Roads Ventures
Classplus,Edtech,Pre series A,2500000.0,,It allows coaching centres to take their brick-and-mortar setup online,2020,"Blume Ventures, Sequoia"
Chaayos,Beverages,,21500000.0,,Provides customised range of tea,2020,Think Investment
PetPooja,SaaS,,2000000.0,Ahmedabad,Restaurant management software provider,2020,Udaan
Pepperfry,E-market,Series F,40000000.0,Mumbai,Online home furniture marketplace,2020,Pidilite Industries
FirstCry,E-market,Series E,296000000.0,Pune,Baby products marketplace,2020,Softbank’s Vision Fund
Byju,Edtech,,200000000.0,,Provides online learning classes,2020,General Atlantic
Waycool,Agritech,Series C,32000000.0,Chennai,Food development and distribution services,2020,LightBox Ventures
WorkIndia,HR tech,,6000000.0,,An online and mobile-based platform that connects companies with blue collar employees.,2020,Xiaomi
Qyuki,Media,,3500000.0,Mumbai,Multi-channel broadcast network,2020,Info Edge Venture Fund
Leap India,Agritech,Series B,30000000.0,Coimbatore,Agricultural warehousing and logistics company,2020,Neev Fund
Picxy,Media,,250000.0,Hyderabad,Stock photo industry,2020,"FirstCheque, Angellist India, Aakrit Vaish, Ranjith Radhakrishnan"
Krimanshi,Agritech,,20000.0,Jodhpur,Sustainable system to feed animals by valorizing food residues and surplus into highly nutritious feeds,2020,Arunachal Pradesh Social Entrepreneurship Meet
Dot Pvt. Ltd,Fintech,Seed Round,8000000.0,Gurugram,It provides digital transformation and commerce solutions to brick and mortar outlets,2020,"PayU, Fosun RZ Capital"
Kuku FM,Media,Series A,5500000.0,Mumbai,A podcast platform,2020,Vertex Ventures
SuperMoney,Fintech,Pre series A,1000000.0,Mumbai,Provides financial tools for effective business making,2020,Unitus Ventures.
Rebel Foods,Food tech,,4900000.0,,It runs internet kitchen,2020,Alteria Capital
Fox Capital,Fintech,,2500000.0,Jaipur,Digital lending startup,2020,Institutional Investors
Tribe Theory,Accomodation,,3500000.0,Bangalore,An entrepreneur-focused hostel chain present in multiple locations across the world.,2020,Tim Draper
Fleetx,SaaS,Series A,1402400.0,,Fleet management and predictive analytics platform,2020,Beenext
Embibe,Edtech,,12618300.0,Mumbai,It provides AI-based data analytics to personalise learning outcomes,2020,Reliance Industries Limited (RIL)
Entri,Edtech,Seed Round,1400000.0,Kochi,It is a app that provides different types of learning content in local languages,2020,Good Capital
Oye! Rickshaw,E-mobility,Series A,10000000.0,,App-based electric rickshaw hailing service,2020,Chiratae Ventures
Seal Professional,Edtech,Pre series A,,Bangalore,Trains students in managemnt and leadership skills and also helps in placement,2020,Equanimity Ventures
1MG,Healthtech,,9900000.0,Gurugram,Online pharmacy,2020,Bill & Melinda Gates Foundation
Doubtnut,Edtech,Series A,15000000.0,Gurugram,Multi-lingual digital solutions platform for students,2020,Tencent
AdonMo,Ad-tech,,3000000.0,Bangalore,It is an online and outdoor advertising company,2020,Ant Financial
RACEnergy,E-mobility,Seed Round,,,It builds electric vehicles and supporting infrastructure,2020,"GrowX ventures, Prophetic Ventures"
BharatPe,Fintech,,100000000.0,Delhi,Digital payments platform,2020,Coatue Management
Kisan Network,Agritech,Seed Round,3000000.0,Gurugram,Integrated supply chain for farmers to sell their produce directly to buyers,2020,Atsushi Taira
Vogo,Automotive,Series C,35000000.0,Bangalore,A scooter-sharing platform allowing users to rent a two-wheeler from specific designated pick up points,2020,Lightstone Aspada
Yolo,Transport,Seed Round,600000.0,Gurugram,Intercity transportation startup,2020,Undisclosed
Unotech,SaaS,,2000000.0,Mumbai,It develops fully-customisable open source software,2020,Manish Choksi
Zetwerk,Marketplace,,2200000.0,Bangalore,B2B marketplace that connects manufacturing companies for industrial equipements,2020,InnoVen capital
CureSkin,Healthtech,,500000.0,Bangalore,Provides a treatment solution for skincare and hair fall issues with an artificial intelligence-enabled solution,2020,SenseAI Ventures
WizKlub,Edtech,Seed Funding,982530.0,Bangalore,Helps students solve problems at complex level,2020,Incubate Fund India
Interviewbit,Edtech,Series A,200000000.0,Pune,Platform that provides coding and interview preparation course by industry professionals from tech companies,2020,"Tiger Global Management, Sequoia Capital India, Singapore’s Economic Development Board (EBD)"
MoneyTap,Fintech,Series B,70185200.0,,App-based consumer credit line that gives customers access to credit on tap.,2020,"Aquiline Technology Growth (ATG), RTP Global, Sequoia India"
INdwealth,Fintech,Series C,12000000.0,Gurugram,An Artificial Intelligence and Machine learning based wealth management platform,2020,"Tiger Global, Steadview Capital, DF International Private Partners"
Bizongo,Marketplace,Series C,30000000.0,Mumbai,A B2B marketplace for packaging materials,2020,Schroder Adveq
AppsFlyer,SaaS,Series D,210000000.0,Bangalore,Mobile marketing analytics and attribution platform,2020,General Atlantic
Digit Insurance,Insurtech,,84000000.0,Bangalore,General Insurance Company,2020,"A91 Partners, Faering Capital, TVS Capital"
Livspace,Interior Design,Series D,60000000.0,Bangalore,It offers end-to-end home design experience for homeowners and home designers,2020,"Tahoe Investment Group, Mercer Investment"
GetVantage,Fintech,Seed Round,,Mumbai,Revenue based finance provider,2020,"Samyakth Capital, Venture Catalysts"
LogiNext,Transport Automation,Series B,39000000.0,,"It helps logistics companies to improve internal operations, optimise delivery networks and provide customer service",2020,"Tiger Global, Steadview Capital"
Samosa Singh,Food,Series A,2700000.0,Bangalore,Offers hygienic Indian Snacks,2020,She Capital
Crysta,Healthtech,Pre Series A,1403400.0,Delhi,Offers diagnostic and screening services with regular counselling and clinical data management,2020,"Green Shots Capital, Alfa Ventures, Real Time Venture, Petrotech, Steel City Securities, Lalit Wadhwa, Dr Kriti Maroli"
Eupheus Learning,Edtech,Series A,4300000.0,New Delhi,"Provides technology-led, subscription-based learning solutions to schools",2020,Yuj Ventures
Bounce,Automotive and Rentals,Series D,105000000.0,Bangalore,Offers a variety of bikes and scooters that can be rented on a subscription basis,2020,"Accel Partners, B Capital"
Park+,Techonology,,11000000.0,,It is engaged in bringing digitization in parking,2020,"Sequoia Capital, Matrix Partners India"
Goodmylk,Dairy,Seed Round,400000.0,Bangalore,Provides Vegan dairy products,2020,"Ginni International, Elisa Khong, Sandeep Singh, VegInvest"
SmartKarrot,SaaS,,1000000.0,,It tracks customers’ real-time digital behaviour,2020,Angel investors
Skylo,IoT,Series B,103000000.0,,Provides affordable and ever present network that connects machines or sensors,2020,SoftBank Group
Tea Trunk,Beverage,,220000.0,Goa,Global premium tea brand,2020,Angel investors
Zoomcar,Transport & Rentals,Series D,30000000.0,Bangalore,A car rental service platform,2020,Sony Innovation Fund
Mera Cashier,Fintech,Seed Round,250000.0,Noida,App meant for small and micro businessmen to manage their transactions digitally,2020,"Amit Singal, Manish Aggarwal"
Samya AI,SaaS,Seed Round,6000000.0,,Revenue growth AI startup in the consumer packed goods (CPG) space,2020,Sequoia India
Kristal AI,AI,Series A,6000000.0,,Provides Algorithm-based financial services,2020,Chiratae Ventures
Invento Robotics,AI Robotics,Seed Round,281300.0,,Known for Mitra Series of Robots,2020,"Windrose Capital, ITI Growth Opportunities Venture Fund"
Medicus,Healthtech,,12700.0,Mumbai,AI-based platform that explains and interprets blood tests and medical reports,2020,Angel investors
Monech,Fintech,Seed Round,12700.0,Mumbai,Automated platform which will help users to take their financial decisions,2020,Angel investors
Teach Us,Edtech,Seed Round,12700.0,,Educational portal which enables the students to access information related to education at one common platform,2020,Angel investors
Phenom People,HR tech,Series C,30000000.0,,It redefines the means to search for a job and recruit top talent,2020,WestBridge Capital
Extra Edge,Edtech,Pre Series A,700000.0,Pune,Admission Marketing Automation software for the education industry,2020,"Sprout Venture Partners, Indian Angel Network"
Capital Quotient,Fintech,,600000.0,Bangalore,Investment advisor,2020,Undisclosed
Karfa,Ecommerce,Seed Round,25000.0,Delhi,It sells products crafted by artisans,2020,Undisclosed
Gamerji,Gaming,,400000.0,,Esports tournament platform,2020,La Gajjar Group
Bounce,Automotive and Rentals,Series D,97500000.0,Bangalore,Offers a variety of bikes and scooters that can be rented on a subscription basis,2020,"Accel Partners, B Capital"
Zinier,Automation,Series C,90000000.0,Bangalore,Provides intelligent field service automation,2020,ICONIQ Capital
ProEves,Preschool Daycare,Seed Round,507000.0,Delhi,"Provides tech-enabled, end-to-end childcare support solutions for corporate and retail consumers",2020,1Crowd
Aesthetic Nutrition,Food diet,Pre Series A,,,Markets and sells chewable dietary supplements,2020,DSG Consumer Partners
Capital Float,Fintech,,15000000.0,Bangalore,Digital lending,2020,"Sequoia Capital, Ribbit Capital, Amazon, Saif Partners"
Ninjacart,B2B Agritech,Series C,10000000.0,Bangalore,Online grocery delivery platform,2020,"Flipkart India, Singapore-based GEC3"
TechnifyBiz,B2B Agritech,Seed Round,2000000.0,,Online marketplace for non-perishable food items,2020,"Omnivore, Insitor Impact Asia Fund"
Wysh,E-connect,Series A,2000000.0,Hyderabad,Celebrity engagement and wishing platform,2020,Kalaari Capital
Keito,AI,Seed Round,160000.0,Pune,Enterprise productivity startup,2020,Suma Soft Pvt Ltd
Klub,Fintech,Pre seed round,2000000.0,,Provides growth financing to high-affinity brands,2020,Sequoia Surge
Aadhar,Ecommerce,Seed Round,,Mumbai,Ayurveda wellness and lifestyle consumer brand,2020,"Sprout Venture Partners, JITO Angel Network, LetsVenture"
Rheo,Entertainment,,2000000.0,,Online e-sports streaming and community platform,2020,"Lightspeed Venture Partners, Sequoia Surge"
Axio Biosolutions,Medtech,Series B,5200000.0,Bangalore,Medical device manufacturer,2020,Omidyar Network India
Techbooze,Consultancy,Series A,15000000.0,,"Business Development, Consulting and Funding facilitator for Startups Enterprise",2020,Space Capital
Testbook,Edtech,Series B,8400000.0,,Helps students prepare online for competitive exams,2020,Iron Pillar
FabAlley,Ecommerce,,1100000.0,Noida,Online fashion store,2020,Trifecta Capital
HaikuJAM,,,3400000.0,,Creative writing mobile platform,2020,"Lightbox. Social Capital, Dunce Capital"
Mamaearth,Ecommerce,Series A,18300000.0,,Online baby and mother care brand,2020,Sequoia India
Rentomojo,Rental,,2000000.0,,"Furniture, electronics, and appliance-centric consumer leasing platform",2020,GMO Payment Gateway
Zomato,Foodtech,,150000000.0,,Online food delivery and restaurant discovery platform,2020,Ant Financial
Byju,Edtech,,200000000.0,,Provides online learning classes,2020,Tiger Global
Generico,Pharmacy,,1400000.0,Mumbai,Generic medicine focussed retail chain,2020,Alteria Capital
HighRadius,SaaS,Series B,125000000.0,Hyderabad,"An AI-based platform, to automate accounts receivables and treasury processes.",2020,ICONIQ Capital
Chai Kings,Beverage,,1000000.0,Chennai,It offers a range of tea in various flavour,2020,The Chennai Angels (TCA)
Rivigo,Logistics,Series F,3400000.0,Gurugram,"It offers delivery services across India to retail, e-commerce, pharmaceutical, automobile and FMCG companies",2020,Trifecta Capital
BuildPan,SaaS,Seed Round,,Indore,"It helps developers to test, integrate and deploy apps",2020,"HNIs in India, Japan, and the US"
Shiksha,Edtech,,181000.0,,It makes college selection easy for students looking to pursue UG and PG courses in India and abroad,2020,Mumbai Angels Network
Super Surfaces,Deisgning,Series A,500000.0,Hyderabad,A design solution based company,2020,Vishnu Reddy
Quicko,Taxation,,280000.0,Ahmedabad,Online tax planning and filing platform,2020,"Zerodha fintech fund, Rainmatter"
Satin Creditcare,Fintech,,15000000.0,Gurgaon,A micro finance company,2020,Austrian Bank
XpressBees,Logistics,,10000000.0,,Provides end to end supply chain solutions,2020,Alibaba
FarmERP,Agritech,Series A,,Pune,Smart agriculture management ERP software platform,2020,TechnoGen
Wealth Bucket,Fintech,,3000000.0,,An online platform for mutual fund investments,2020,"NorthStar, Vinod Khatumal"
GoMechanic,Automobile Technology,Series B,14700000.0,Delhi,Find automobile repair and maintenance service providers,2020,"Chiratae Ventures, Sequoia Capital, Orios Venture Partners"
Fashor,Fashion,Pre Series A,1000000.0,Chennai,Women’s fashion and apparel,2020,Sprout venture partners
Leverage Edu,Edtech,,1500000.0,Delhi,AI enabled marketplace that provides career guidance,2020,"DSG Consumer Partners, Blume Ventures"
EpiFi,Fintech,Seed Round,13200000.0,,It offers customers with a single interface for all their financial and banking mandates,2020,"Sequoia India, Ribbit Capital"
Purplle,Cosmetics,,8000000.0,Mumbai,Online makeup and beauty products retailer,2020,Verlinvest
Shuttl,Transport,Series C,8043000.0,Delhi,App based bus aggregator serice,2020,SIG Global India Fund LLP.
Pando,Logitech,Series A,9000000.0,Chennai,Networked logistics management software,2020,Chiratae Ventures
Aqgromalin,AgriTech,,200000.0,Chennai,Cultivating Ideas for Profit,2021,Angel investors
Krayonnz,EdTech,Pre-seed,100000.0,Bangalore,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,2021,GSF Accelerator
PadCare Labs,Hygiene management,Pre-seed,,Pune,Converting bio-hazardous waste to harmless waste,2021,Venture Center
NCOME,Escrow,,400000.0,New Delhi,Escrow-as-a-service platform,2021,"Venture Catalysts, PointOne Capital"
Gramophone,AgriTech,,340000.0,Indore,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,2021,"Siana Capital Management, Info Edge"
qZense,AgriTech,Seed,600000.0,Bangalore,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,2021,"Venture Catalysts, 9Unicorns Accelerator Fund"
MyClassboard,EdTech,Pre-series A,600000.0,Hyderabad,MyClassboard is a full-fledged School / College Management Software.,2021,ICICI Bank.
Metvy,Networking platform,Pre-series,,Gurgaon,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,2021,HostelFund
Rupeek,FinTech,Series C,45000000.0,Bangalore,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.",2021,"KB Investment, Bertelsmann India Investments"
Gig India,Crowdsourcing,Pre-series A,1000000.0,Pune,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,2021,"Shantanu Deshpande, Subramaniam Ramadorai"
Slurrp Farm,Food & Bevarages,Series A,2000000.0,Gurgaon,Slurrp Farm is a children health food brand.,2021,Fireside Ventures
Medfin,HealthTech,Series A,,Bangalore,Medfin is a Discovery platform for medical procedures and financing.,2021,"Axilor Ventures, S.D. Shibulal"
